event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2025-04-13_IAK,IAK,2025-04-13,-0.008782178335927874,-0.013185298158768776,-0.017859156505967037,0.850851,0.002982,36,,random
RAND_2024-12-21_IAK,IAK,2024-12-21,0.003227881405753582,0.00476078688431646,0.013059180426491818,0.745191,-0.000561,37,,random
RAND_2025-06-13_JETS,JETS,2025-06-13,0.018179744862380227,-0.001254496599990061,0.007013686313635191,1.471221,0.000812,36,,random
RAND_2025-06-12_XHB,XHB,2025-06-12,-0.004645636738508846,-0.00679938321890507,0.02476767622521511,1.61398,-0.003579,35,,random
RAND_2025-06-15_MOO,MOO,2025-06-15,-0.0014288922228811608,-0.014419585236171468,-0.0331680837678067,0.656256,0.000778,35,,random
RAND_2025-02-09_JETS,JETS,2025-02-09,-0.01573206527542319,-0.030492651170128792,-0.015380304503318273,0.50319,0.000205,33,,random
RAND_2024-12-17_IAK,IAK,2024-12-17,-0.0036535162535522372,0.00976331776159451,0.010676254408889075,0.799218,-0.0009,35,,random
RAND_2025-02-15_MOO,MOO,2025-02-15,0.0006322859211509568,0.007322070048457464,0.024342806450196652,0.650798,8e-06,34,,random
RAND_2024-12-18_MOO,MOO,2024-12-18,-0.007469598177735798,-0.0001471712558451454,0.0018366997097831312,0.315871,-0.000674,35,,random
RAND_2025-01-31_XHB,XHB,2025-01-31,-0.01258896390935062,-0.005062139668378906,-0.01960191447579784,1.205471,-0.002941,34,,random
RAND_2025-06-15_IAK,IAK,2025-06-15,0.0038267138157304283,0.016385509416883607,0.009063940815023864,0.954182,-0.002078,35,,random
RAND_2025-02-11_XHB,XHB,2025-02-11,-0.01152023584617724,-0.003590160193636841,-0.027268219517187425,1.187735,-0.002174,32,,random
RAND_2024-12-15_IAK,IAK,2024-12-15,-0.00837291245992666,-0.010384006618919786,-0.005606153062530493,0.70714,-7.2e-05,36,,random
RAND_2025-02-04_WOOD,WOOD,2025-02-04,-0.0035288293279810297,-0.0007215266604673459,-0.015001590295278875,0.927865,0.000417,32,,random
RAND_2025-04-17_XLE,XLE,2025-04-17,-0.009133302416825567,-0.023561816299918274,-0.03580004736226939,1.080544,0.000253,36,,random
RAND_2025-02-17_IAK,IAK,2025-02-17,0.00490340332331801,-0.005505832233816416,0.027323635999598958,0.313539,0.000887,32,,random
RAND_2025-02-09_MOO,MOO,2025-02-09,0.003911076057431651,-0.010694871364118369,0.001664590045328547,0.653155,0.00027,33,,random
RAND_2025-02-10_IAK,IAK,2025-02-10,0.0053179451244823985,0.0035384295938167137,-0.002877467832306989,0.567259,0.000191,32,,random
RAND_2025-06-14_XLU,XLU,2025-06-14,-0.0017933877449970454,0.00706047708050538,0.012142019555961553,0.58577,-0.000554,36,,random
